Species;N Monkeys;Mean Days Used;Min Days Used;Max Days Used;Mean Months Used;Min Months Used;Max Months Used;Mean Attempts per Day;Min Attempts per Day;Max Attempts per Day;Mean Attempts per Month;Min Attempts per Month;Max Attempts per Month
Rhesus;16;130.5;25;292;10.12;2;22;43.75;12.05;109.0;577.02;158.38;1594.75
Tonkean;33;783.91;37;1814;49.67;2;96;39.7;11.71;147.01;670.15;153.04;3101.52
