Species;N Monkeys;Mean Days Used;Min Days Used;Max Days Used;Mean Months Used;Min Months Used;Max Months Used;Mean Attempts per Day;Min Attempts per Day;Max Attempts per Day;Mean Attempts per Month;Min Attempts per Month;Max Attempts per Month
Rhesus;16;3.69;1;17;1.25;1;2;253.61;59.35;581.0;484.84;208.5;727.0
Tonkean;33;10.82;1;79;1.58;1;6;214.16;27.71;619.0;624.93;232.5;1634.0
