name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
arwen,121,17,2023-09-06,2023-09-12,0.743801652892562,0.23140495867768596,0.008264462809917356,0.01652892561983471,1436.5333333333333,1724.642857142857,159369.3388429752,7.117647058823529,1140,2,4.69315068493151
faramir,121,3,2022-07-21,2022-07-22,0.45454545454545453,0.45454545454545453,0.008264462809917356,0.08264462809917356,1333.8,1333.6727272727273,802637.1157024794,40.333333333333336,1176,1,3.96986301369863
yvan,121,26,2022-06-12,2022-06-12,0.6859504132231405,0.2975206611570248,0.008264462809917356,0.008264462809917356,1630.9277108433735,2311.8888888888887,235034.173553719,4.653846153846154,1080,1,1.64657534246575
eowyn,121,12,2023-05-17,2023-05-20,0.5950413223140496,0.33884297520661155,0.01652892561983471,0.049586776859504134,1559.0277777777778,1942.0975609756097,304781.6033057851,10.083333333333334,1030,2,4.87945205479452
vladimir,121,11,2022-07-15,2022-07-16,0.743801652892562,0.21487603305785125,0.01652892561983471,0.024793388429752067,1278.9555555555555,1419.1538461538462,694902.9752066116,11.0,966,1,2.11506849315069
djocko,121,14,2022-06-28,2022-06-28,0.6528925619834711,0.3305785123966942,0.0,0.01652892561983471,1462.2025316455697,1957.975,567772.7272727273,8.642857142857142,1112,1,3.03013698630137
baal,121,24,2022-07-10,2022-07-15,0.5950413223140496,0.36363636363636365,0.008264462809917356,0.03305785123966942,1829.0555555555557,2418.340909090909,256423.76859504133,5.041666666666667,807,1,1.13698630136986
yelena,121,11,2022-06-23,2022-06-23,0.6198347107438017,0.34710743801652894,0.0,0.03305785123966942,941.3466666666667,1102.857142857143,300561.12396694213,11.0,921,2,1.99178082191781
