name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
arwen,223,42,2023-09-06,2023-10-04,0.6547085201793722,0.31390134529147984,0.02242152466367713,0.008968609865470852,1346.2397260273972,1935.9857142857143,231755.1928251121,5.309523809523809,1128,2,4.69315068493151
faramir,1336,55,2022-07-21,2022-08-10,0.5217065868263473,0.41467065868263475,0.010479041916167664,0.0531437125748503,1384.413199426112,1604.2671480144404,822515.3847305389,24.29090909090909,1174,1,3.96986301369863
yvan,788,315,2022-06-12,2022-07-05,0.7982233502538071,0.18908629441624367,0.011421319796954314,0.0012690355329949238,1463.0238473767886,2185.2147651006712,150311.43147208123,2.5015873015873016,1054,1,1.64657534246575
eowyn,234,33,2023-05-17,2023-05-27,0.5811965811965812,0.32905982905982906,0.008547008547008548,0.0811965811965812,1555.7205882352941,2002.3506493506493,332329.3888888889,7.090909090909091,1027,2,4.87945205479452
vladimir,180,27,2022-07-15,2022-07-17,0.7444444444444445,0.19444444444444445,0.027777777777777776,0.03333333333333333,1232.6119402985075,1359.4857142857143,657094.4722222222,6.666666666666667,965,1,2.11506849315069
djocko,540,81,2022-06-28,2022-07-05,0.7314814814814815,0.24814814814814815,0.012962962962962963,0.007407407407407408,1464.9189873417722,1972.5373134328358,664606.9722222222,6.666666666666667,1126,1,3.03013698630137
baal,121,24,2022-07-10,2022-07-16,0.5950413223140496,0.36363636363636365,0.008264462809917356,0.03305785123966942,1829.0555555555557,2418.340909090909,256423.76859504133,5.041666666666667,809,1,1.13698630136986
yelena,606,112,2022-06-23,2022-07-05,0.5858085808580858,0.31683168316831684,0.0049504950495049506,0.0924092409240924,1152.174647887324,1268.046875,409261.2079207921,5.410714285714286,930,2,1.99178082191781
