name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
lady,14175,1335,2017-01-03,2023-02-14,0.7574603174603175,0.05008818342151675,0.04169312169312169,0.14765432098765433,1133.3522399180404,2152.430985915493,369739.58158730157,10.617977528089888,770,2,19.2054794520548
anubis,7078,1579,2016-10-25,2020-10-12,0.8991240463407743,0.022181407177168693,0.07050014128284826,0.008194405199208816,790.4637020741671,2577.0509554140126,177245.22845436563,4.482583913869537,1009,1,3.05753424657534
cesar,24628,4033,2019-05-07,2022-09-14,0.8632856910833198,0.06813383141140165,0.053069676790644796,0.014536300146175084,859.1172099148675,2823.945768772348,246553.09188728276,6.10662038184974,834,1,3.89315068493151
wotan,8501,1073,2016-10-25,2018-05-22,0.946829784731208,0.01246912127984943,0.014939418891895071,0.025173508998941302,701.8958876879116,3141.943396226415,135241.9021291613,7.9226467847157505,1144,1,9.02191780821918
ficelle,8273,2464,2020-04-21,2024-01-31,0.7919738909706273,0.03565816511543576,0.14758854103710867,0.02405415206092107,841.8043345543346,2527.6813559322036,155067.89967363712,3.3575487012987013,815,2,2.13150684931507
eric,12888,3188,2020-05-06,2023-11-03,0.8093575418994413,0.0297951582867784,0.13966480446927373,0.02063935443823712,791.6250599175535,2798.6510416666665,183933.5896958411,4.042659974905897,804,1,3.03561643835616
olga,39969,3720,2017-12-23,2024-01-31,0.41289499362005555,0.05053916785508769,0.004953839225399685,0.5295103705371663,711.1469429800642,1325.2623762376238,585386.9936700943,10.744354838709677,1002,2,16.3178082191781
yang,10817,1987,2016-10-25,2019-01-17,0.8760284736988074,0.035222335213090504,0.08551354349634833,0.002865859295553296,637.2811312790207,2492.8425196850394,201222.05066099658,5.443885254151988,1295,1,6.96986301369863
gandhi,6420,1266,2021-09-26,2024-01-31,0.8587227414330219,0.028037383177570093,0.09174454828660436,0.020872274143302182,823.4641755849809,3083.0333333333333,122395.19922118381,5.071090047393365,717,1,2.1041095890411
yannick,15963,1928,2016-10-25,2024-01-31,0.903902775167575,0.04084445279709328,0.03426674184050617,0.02061016099730627,627.4904705800818,2907.34509202454,188234.24287414647,8.279564315352697,1236,1,6.47397260273973
yin,13064,1409,2016-10-25,2024-01-31,0.872091243110839,0.023040416411512554,0.09086037966932027,0.013625229638701776,1076.8446414465022,3044.2126245847176,284109.8081751378,9.271823988644428,1027,2,6.98904109589041
alaryc,30247,8159,2016-10-25,2022-09-14,0.8589942804245049,0.027572982444539953,0.10794458954607068,0.005355903064766754,716.6323993533985,2144.9304556354914,176505.50014877509,3.7071945091310208,1025,1,3.12876712328767
nenno,4768,263,2016-10-25,2017-01-18,0.9339345637583892,0.04614093959731544,0.012583892617449664,0.007340604026845637,768.3655962272625,3023.418181818182,201026.19630872484,18.129277566539923,1009,1,4.18356164383562
nereis,22987,3142,2016-10-25,2024-01-31,0.7481185017618655,0.026754252403532432,0.02062035063296646,0.20350632966459303,740.0741408385184,2307.2487804878047,227430.21016226563,7.316040738383196,1130,2,17.4821917808219
gaia,4634,462,2023-05-20,2024-01-31,0.8338368580060423,0.04920155373327579,0.05653862753560639,0.05740181268882175,798.1953933747412,2464.9517543859647,158385.1443677169,10.030303030303031,735,2,3.54794520547945
hercules,4140,1002,2022-06-10,2024-01-31,0.7439613526570048,0.06086956521739131,0.14009661835748793,0.0533816425120773,635.387987012987,2580.472222222222,163298.47270531402,4.131736526946108,766,1,1.73150684931507
